chimeraid	tagid	txid1	txid2	geneid1	geneid2	symbol1	symbol2	type1	type2	locusid1	locusid2	locus1	locus2	groupid1	groupid2	score1	score2	score
chimera_20	tag_255504|1|l	MI0004523_mmu-mir-669a-1	ENSMUST00000022806	MI0004523_mmu-mir-669a-1	ENSMUSG00000089682	mmu-mir-669a-1	Bcl2l2-002	miRNA	protein_coding	locus_203	locus_4838	chr2:10476895:10476943:+	chr14:54886012:54886030:+	group_172	group_1499	0.601544889955	1.0	0.601544889955
chimera_21	tag_255504|1|l	MI0014073_mmu-mir-669a-10	ENSMUST00000133397	MI0014073_mmu-mir-669a-10	ENSMUSG00000089682	mmu-mir-669a-10	Bcl2l2-002	miRNA	protein_coding	locus_259	locus_4838	chr2:10498949:10498997:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_22	tag_255504|1|l	MI0014073_mmu-mir-669a-10	ENSMUST00000022806	MI0014073_mmu-mir-669a-10	ENSMUSG00000089682	mmu-mir-669a-10	Bcl2l2-002	miRNA	protein_coding	locus_259	locus_4838	chr2:10498949:10498997:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_23	tag_255504|1|l	MI0014055_mmu-mir-669a-5	ENSMUST00000133397	MI0014055_mmu-mir-669a-5	ENSMUSG00000089682	mmu-mir-669a-5	Bcl2l2-002	miRNA	protein_coding	locus_217	locus_4838	chr2:10481799:10481847:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_24	tag_255504|1|l	MI0014055_mmu-mir-669a-5	ENSMUST00000022806	MI0014055_mmu-mir-669a-5	ENSMUSG00000089682	mmu-mir-669a-5	Bcl2l2-002	miRNA	protein_coding	locus_217	locus_4838	chr2:10481799:10481847:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_25	tag_255504|1|l	MI0014058_mmu-mir-669a-6	ENSMUST00000133397	MI0014058_mmu-mir-669a-6	ENSMUSG00000089682	mmu-mir-669a-6	Bcl2l2-002	miRNA	protein_coding	locus_223	locus_4838	chr2:10484234:10484282:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_26	tag_255504|1|l	MI0014058_mmu-mir-669a-6	ENSMUST00000022806	MI0014058_mmu-mir-669a-6	ENSMUSG00000089682	mmu-mir-669a-6	Bcl2l2-002	miRNA	protein_coding	locus_223	locus_4838	chr2:10484234:10484282:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_27	tag_255504|1|l	MI0004667_mmu-mir-669a-2	ENSMUST00000133397	MI0004667_mmu-mir-669a-2	ENSMUSG00000089682	mmu-mir-669a-2	Bcl2l2-002	miRNA	protein_coding	locus_282	locus_4838	chr2:10510208:10510260:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_28	tag_255504|1|l	MI0004667_mmu-mir-669a-2	ENSMUST00000022806	MI0004667_mmu-mir-669a-2	ENSMUSG00000089682	mmu-mir-669a-2	Bcl2l2-002	miRNA	protein_coding	locus_282	locus_4838	chr2:10510208:10510260:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_29	tag_255504|1|l	MI0014075_mmu-mir-669a-11	ENSMUST00000133397	MI0014075_mmu-mir-669a-11	ENSMUSG00000089682	mmu-mir-669a-11	Bcl2l2-002	miRNA	protein_coding	locus_261	locus_4838	chr2:10501377:10501425:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_30	tag_255504|1|l	MI0014075_mmu-mir-669a-11	ENSMUST00000022806	MI0014075_mmu-mir-669a-11	ENSMUSG00000089682	mmu-mir-669a-11	Bcl2l2-002	miRNA	protein_coding	locus_261	locus_4838	chr2:10501377:10501425:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_31	tag_255504|1|l	MI0014064_mmu-mir-669p-1	ENSMUST00000133397	MI0014064_mmu-mir-669p-1	ENSMUSG00000089682	mmu-mir-669p-1	Bcl2l2-002	miRNA	protein_coding	locus_235	locus_4838	chr2:10489153:10489197:+	chr14:54886012:54886030:+	group_172	group_1499	0.590592065139	1.0	0.590592065139
chimera_32	tag_255504|1|l	MI0014064_mmu-mir-669p-1	ENSMUST00000022806	MI0014064_mmu-mir-669p-1	ENSMUSG00000089682	mmu-mir-669p-1	Bcl2l2-002	miRNA	protein_coding	locus_235	locus_4838	chr2:10489153:10489197:+	chr14:54886012:54886030:+	group_172	group_1499	0.590592065139	1.0	0.590592065139
chimera_33	tag_255504|1|l	MI0014054_mmu-mir-669a-4	ENSMUST00000133397	MI0014054_mmu-mir-669a-4	ENSMUSG00000089682	mmu-mir-669a-4	Bcl2l2-002	miRNA	protein_coding	locus_211	locus_4838	chr2:10479353:10479401:+	chr14:54886012:54886030:+	group_172	group_1499	0.650807054919	1.0	0.650807054919
chimera_34	tag_255504|1|l	MI0014054_mmu-mir-669a-4	ENSMUST00000022806	MI0014054_mmu-mir-669a-4	ENSMUSG00000089682	mmu-mir-669a-4	Bcl2l2-002	miRNA	protein_coding	locus_211	locus_4838	chr2:10479353:10479401:+	chr14:54886012:54886030:+	group_172	group_1499	0.650807054919	1.0	0.650807054919
chimera_35	tag_255504|1|l	MI0006287_mmu-mir-669f	ENSMUST00000133397	MI0006287_mmu-mir-669f	ENSMUSG00000089682	mmu-mir-669f	Bcl2l2-002	miRNA	protein_coding	locus_172	locus_4838	chr2:10467280:10467327:+	chr14:54886012:54886030:+	group_159	group_1499	0.347030795397	1.0	0.347030795397
chimera_36	tag_255504|1|l	MI0006287_mmu-mir-669f	ENSMUST00000022806	MI0006287_mmu-mir-669f	ENSMUSG00000089682	mmu-mir-669f	Bcl2l2-002	miRNA	protein_coding	locus_172	locus_4838	chr2:10467280:10467327:+	chr14:54886012:54886030:+	group_159	group_1499	0.347030795397	1.0	0.347030795397
chimera_37	tag_357986|1|l	MI0000390_mmu-mir-292a	ENSMUST00000069652	MI0000390_mmu-mir-292a	ENSMUSG00000039318	mmu-mir-292a	Rab3gap2-006	miRNA	retained_intron	locus_406	locus_749	chr7:3219189:3219239:+	chr1:185285318:185285351:+	group_273	group_363	1.0	1.0	1.0
chimera_38	tag_252761|1|l	MI0014071_mmu-mir-669p-2	ENSMUST00000033157	MI0014071_mmu-mir-669p-2	ENSMUSG00000030869	mmu-mir-669p-2	Ndufab1-003	miRNA	retained_intron	locus_253	locus_12568	chr2:10496534:10496578:+	chr7:122087849:122087875:-	group_172	group_3049	1.0	1.0	1.0
chimera_39	tag_252761|1|l	MI0014064_mmu-mir-669p-1	ENSMUST00000033157	MI0014064_mmu-mir-669p-1	ENSMUSG00000030869	mmu-mir-669p-1	Ndufab1-003	miRNA	retained_intron	locus_235	locus_12568	chr2:10489153:10489197:+	chr7:122087849:122087875:-	group_172	group_3049	0.904471544715	1.0	0.904471544715
chimera_40	tag_1550927|39|l	MI0000151_mmu-mir-125a	ENSMUST00000182010	MI0000151_mmu-mir-125a	ENSMUSG00000098178	mmu-mir-125a	Yam1-001	miRNA	lincRNA	locus_154	locus_6337	chr17:17830816:17830856:+	chr17:39847911:39848043:+	group_145	group_1870	1.0	1.0	1.0
chimera_41	tag_289132|1|r	MI0000389_mmu-mir-291a	ENSMUST00000037646	MI0000389_mmu-mir-291a	ENSMUSG00000035529	mmu-mir-291a	Prdm4-201	miRNA	protein_coding	locus_405	locus_2037	chr7:3218953:3219000:+	chr10:85907513:85907531:-	group_272	group_735	1.0	1.0	1.0
chimera_42	tag_256325|1|l	MI0014061_mmu-mir-669a-7	ENSMUST00000025050	MI0014061_mmu-mir-669a-7	ENSMUSG00000024213	mmu-mir-669a-7	Nudt3-005	miRNA	retained_intron	locus_229	locus_6116	chr2:10486691:10486739:+	chr17:27579727:27579746:-	group_172	group_1801	1.0	1.0	1.0
chimera_43	tag_256325|1|l	MI0009945_mmu-mir-669o	ENSMUST00000025050	MI0009945_mmu-mir-669o	ENSMUSG00000024213	mmu-mir-669o	Nudt3-005	miRNA	retained_intron	locus_295	locus_6116	chr2:10514335:10514395:+	chr17:27579727:27579746:-	group_172	group_1801	0.951807228916	1.0	0.951807228916
chimera_44	tag_256325|1|l	MI0014071_mmu-mir-669p-2	ENSMUST00000025050	MI0014071_mmu-mir-669p-2	ENSMUSG00000024213	mmu-mir-669p-2	Nudt3-005	miRNA	retained_intron	locus_253	locus_6116	chr2:10496534:10496578:+	chr17:27579727:27579746:-	group_172	group_1801	1.0	1.0	1.0
chimera_45	tag_256325|1|l	MI0014068_mmu-mir-669a-9	ENSMUST00000025050	MI0014068_mmu-mir-669a-9	ENSMUSG00000024213	mmu-mir-669a-9	Nudt3-005	miRNA	retained_intron	locus_247	locus_6116	chr2:10494066:10494114:+	chr17:27579727:27579746:-	group_172	group_1801	1.0	1.0	1.0
chimera_46	tag_256325|1|l	MI0014066_mmu-mir-669a-8	ENSMUST00000025050	MI0014066_mmu-mir-669a-8	ENSMUSG00000024213	mmu-mir-669a-8	Nudt3-005	miRNA	retained_intron	locus_241	locus_6116	chr2:10491604:10491652:+	chr17:27579727:27579746:-	group_172	group_1801	1.0	1.0	1.0
chimera_47	tag_256325|1|l	MI0014077_mmu-mir-669a-12	ENSMUST00000025050	MI0014077_mmu-mir-669a-12	ENSMUSG00000024213	mmu-mir-669a-12	Nudt3-005	miRNA	retained_intron	locus_267	locus_6116	chr2:10503829:10503877:+	chr17:27579727:27579746:-	group_172	group_1801	1.0	1.0	1.0
chimera_48	tag_256325|1|l	MI0004668_mmu-mir-669a-3	ENSMUST00000025050	MI0004668_mmu-mir-669a-3	ENSMUSG00000024213	mmu-mir-669a-3	Nudt3-005	miRNA	retained_intron	locus_196	locus_6116	chr2:10474483:10474525:+	chr17:27579727:27579746:-	group_172	group_1801	1.0	1.0	1.0
chimera_49	tag_256325|1|l	MI0004523_mmu-mir-669a-1	ENSMUST00000025050	MI0004523_mmu-mir-669a-1	ENSMUSG00000024213	mmu-mir-669a-1	Nudt3-005	miRNA	retained_intron	locus_203	locus_6116	chr2:10476895:10476943:+	chr17:27579727:27579746:-	group_172	group_1801	0.921245421245	1.0	0.921245421245
chimera_50	tag_256325|1|l	MI0014073_mmu-mir-669a-10	ENSMUST00000025050	MI0014073_mmu-mir-669a-10	ENSMUSG00000024213	mmu-mir-669a-10	Nudt3-005	miRNA	retained_intron	locus_259	locus_6116	chr2:10498949:10498997:+	chr17:27579727:27579746:-	group_172	group_1801	1.0	1.0	1.0
chimera_51	tag_256325|1|l	MI0014055_mmu-mir-669a-5	ENSMUST00000025050	MI0014055_mmu-mir-669a-5	ENSMUSG00000024213	mmu-mir-669a-5	Nudt3-005	miRNA	retained_intron	locus_217	locus_6116	chr2:10481799:10481847:+	chr17:27579727:27579746:-	group_172	group_1801	1.0	1.0	1.0
chimera_52	tag_256325|1|l	MI0014058_mmu-mir-669a-6	ENSMUST00000025050	MI0014058_mmu-mir-669a-6	ENSMUSG00000024213	mmu-mir-669a-6	Nudt3-005	miRNA	retained_intron	locus_223	locus_6116	chr2:10484234:10484282:+	chr17:27579727:27579746:-	group_172	group_1801	1.0	1.0	1.0
chimera_53	tag_256325|1|l	MI0004667_mmu-mir-669a-2	ENSMUST00000025050	MI0004667_mmu-mir-669a-2	ENSMUSG00000024213	mmu-mir-669a-2	Nudt3-005	miRNA	retained_intron	locus_282	locus_6116	chr2:10510208:10510260:+	chr17:27579727:27579746:-	group_172	group_1801	1.0	1.0	1.0
chimera_54	tag_256325|1|l	MI0014075_mmu-mir-669a-11	ENSMUST00000025050	MI0014075_mmu-mir-669a-11	ENSMUSG00000024213	mmu-mir-669a-11	Nudt3-005	miRNA	retained_intron	locus_261	locus_6116	chr2:10501377:10501425:+	chr17:27579727:27579746:-	group_172	group_1801	1.0	1.0	1.0
chimera_55	tag_256325|1|l	MI0014064_mmu-mir-669p-1	ENSMUST00000025050	MI0014064_mmu-mir-669p-1	ENSMUSG00000024213	mmu-mir-669p-1	Nudt3-005	miRNA	retained_intron	locus_235	locus_6116	chr2:10489153:10489197:+	chr17:27579727:27579746:-	group_172	group_1801	0.904471544715	1.0	0.904471544715
chimera_56	tag_256325|1|l	MI0014054_mmu-mir-669a-4	ENSMUST00000025050	MI0014054_mmu-mir-669a-4	ENSMUSG00000024213	mmu-mir-669a-4	Nudt3-005	miRNA	retained_intron	locus_211	locus_6116	chr2:10479353:10479401:+	chr17:27579727:27579746:-	group_172	group_1801	0.996688741722	1.0	0.996688741722
chimera_57	tag_1434974|1|l	MI0003718_mmu-mir-302d	ENSMUST00000143824	MI0003718_mmu-mir-302d	ENSMUSG00000027379	mmu-mir-302d	Bub1-005	miRNA	retained_intron	locus_329	locus_7661	chr3:127545648:127545689:+	chr2:127814840:127814867:-	group_208	group_2178	1.0	1.0	1.0
chimera_58	tag_1434974|1|l	MI0003718_mmu-mir-302d	ENSMUST00000028858	MI0003718_mmu-mir-302d	ENSMUSG00000027379	mmu-mir-302d	Bub1-005	miRNA	retained_intron	locus_329	locus_7661	chr3:127545648:127545689:+	chr2:127814840:127814867:-	group_208	group_2178	1.0	1.0	1.0
chimera_59	tag_24086|12|r	MI0000224_mmu-mir-182	ENSMUST00000082392	MI0000224_mmu-mir-182	ENSMUSG00000064341	mmu-mir-182	mt-Nd1-201	miRNA	protein_coding	locus_385	locus_15210	chr6:30165956:30165990:-	chrM:3619:3639:+	group_253	group_3540	1.0	1.0	1.0
chimera_60	tag_1203204|1|l	MI0000580_mmu-mir-92a-2	ENSMUST00000109226	MI0000580_mmu-mir-92a-2	ENSMUSG00000042275	mmu-mir-92a-2	Pelo-201	miRNA	protein_coding	locus_458	locus_4042	chrX:52741852:52741918:-	chr13:115088682:115088703:-	group_119	group_1307	0.920276497696	1.0	0.920276497696
chimera_61	tag_1203204|1|l	MI0000719_mmu-mir-92a-1	ENSMUST00000109226	MI0000719_mmu-mir-92a-1	ENSMUSG00000042275	mmu-mir-92a-1	Pelo-201	miRNA	protein_coding	locus_121	locus_4042	chr14:115044454:115044506:+	chr13:115088682:115088703:-	group_119	group_1307	1.0	1.0	1.0
chimera_62	tag_1324328|1|l	MI0000719_mmu-mir-92a-1	ENSMUST00000182010	MI0000719_mmu-mir-92a-1	ENSMUSG00000098178	mmu-mir-92a-1	Yam1-001	miRNA	lincRNA	locus_121	locus_6323	chr14:115044454:115044506:+	chr17:39847271:39847381:+	group_119	group_1857	1.0	1.0	1.0
chimera_63	tag_1324328|1|l	MI0000580_mmu-mir-92a-2	ENSMUST00000182010	MI0000580_mmu-mir-92a-2	ENSMUSG00000098178	mmu-mir-92a-2	Yam1-001	miRNA	lincRNA	locus_457	locus_6323	chrX:52741838:52741880:-	chr17:39847271:39847381:+	group_119	group_1857	0.8001998002	1.0	0.8001998002
chimera_64	tag_63959|1|l	MI0000393_mmu-mir-295	ENSMUST00000027778	MI0000393_mmu-mir-295	ENSMUSG00000026497	mmu-mir-295	Mixl1-001	miRNA	protein_coding	locus_415	locus_688	chr7:3220803:3220841:+	chr1:180693408:180693430:-	group_281	group_340	1.0	1.0	1.0
chimera_65	tag_768634|1|r	MI0006302_mmu-mir-467h	ENSMUST00000167872	MI0006302_mmu-mir-467h	ENSMUSG00000020111	mmu-mir-467h	Micu1-201	miRNA	protein_coding	locus_437	locus_1746	chr9:115381891:115381925:+	chr10:59744042:59744066:+	group_299	group_655	1.0	1.0	1.0
chimera_66	tag_402900|1|l	MI0000390_mmu-mir-292a	ENSMUST00000182010	MI0000390_mmu-mir-292a	ENSMUSG00000098178	mmu-mir-292a	Yam1-001	miRNA	lincRNA	locus_406	locus_6334	chr7:3219189:3219239:+	chr17:39847755:39847884:+	group_273	group_231	1.0	0.5	0.5
chimera_67	tag_564666|1|r	MI0014051_mmu-mir-669d-2	ENSMUST00000101405	MI0014051_mmu-mir-669d-2	ENSMUSG00000029821	mmu-mir-669d-2	Dfna5-201	miRNA	protein_coding	locus_182	locus_12186	chr2:10471651:10471686:+	chr6:50201890:50201910:-	group_163	group_2965	0.805771021224	0.342879663689	0.276282496768
chimera_68	tag_564666|1|r	MI0009942_mmu-mir-669l	ENSMUST00000101405	MI0009942_mmu-mir-669l	ENSMUSG00000029821	mmu-mir-669l	Dfna5-201	miRNA	protein_coding	locus_180	locus_12186	chr2:10468977:10469015:+	chr6:50201890:50201910:-	group_163	group_2965	0.618648840939	0.342879663689	0.212122106523
chimera_69	tag_564666|1|r	MI0006281_mmu-mir-669d	ENSMUST00000101405	MI0006281_mmu-mir-669d	ENSMUSG00000029821	mmu-mir-669d	Dfna5-201	miRNA	protein_coding	locus_176	locus_12186	chr2:10468377:10468410:+	chr6:50201890:50201910:-	group_163	group_2965	0.805771021224	0.342879663689	0.276282496768
chimera_70	tag_564666|1|r	MI0014051_mmu-mir-669d-2	ENSMUST00000055844	MI0014051_mmu-mir-669d-2	ENSMUSG00000032387	mmu-mir-669d-2	Rbpms2-201	miRNA	protein_coding	locus_182	locus_14920	chr2:10471651:10471686:+	chr9:65659932:65659959:+	group_163	group_3473	0.805771021224	0.657120336311	0.529488524456
chimera_71	tag_564666|1|r	MI0014051_mmu-mir-669d-2	ENSMUST00000169003	MI0014051_mmu-mir-669d-2	ENSMUSG00000032387	mmu-mir-669d-2	Rbpms2-201	miRNA	protein_coding	locus_182	locus_14920	chr2:10471651:10471686:+	chr9:65659932:65659959:+	group_163	group_3473	0.805771021224	0.657120336311	0.529488524456
chimera_72	tag_564666|1|r	MI0009942_mmu-mir-669l	ENSMUST00000055844	MI0009942_mmu-mir-669l	ENSMUSG00000032387	mmu-mir-669l	Rbpms2-201	miRNA	protein_coding	locus_180	locus_14920	chr2:10468977:10469015:+	chr9:65659932:65659959:+	group_163	group_3473	0.618648840939	0.657120336311	0.406526734416
chimera_73	tag_564666|1|r	MI0009942_mmu-mir-669l	ENSMUST00000169003	MI0009942_mmu-mir-669l	ENSMUSG00000032387	mmu-mir-669l	Rbpms2-201	miRNA	protein_coding	locus_180	locus_14920	chr2:10468977:10469015:+	chr9:65659932:65659959:+	group_163	group_3473	0.618648840939	0.657120336311	0.406526734416
chimera_74	tag_564666|1|r	MI0006281_mmu-mir-669d	ENSMUST00000055844	MI0006281_mmu-mir-669d	ENSMUSG00000032387	mmu-mir-669d	Rbpms2-201	miRNA	protein_coding	locus_176	locus_14920	chr2:10468377:10468410:+	chr9:65659932:65659959:+	group_163	group_3473	0.805771021224	0.657120336311	0.529488524456
chimera_75	tag_564666|1|r	MI0006281_mmu-mir-669d	ENSMUST00000169003	MI0006281_mmu-mir-669d	ENSMUSG00000032387	mmu-mir-669d	Rbpms2-201	miRNA	protein_coding	locus_176	locus_14920	chr2:10468377:10468410:+	chr9:65659932:65659959:+	group_163	group_3473	0.805771021224	0.657120336311	0.529488524456
chimera_76	tag_564666|1|r	MI0006302_mmu-mir-467h	ENSMUST00000101405	MI0006302_mmu-mir-467h	ENSMUSG00000029821	mmu-mir-467h	Dfna5-201	miRNA	protein_coding	locus_437	locus_12186	chr9:115381891:115381925:+	chr6:50201890:50201910:-	group_299	group_2965	0.194228978776	0.342879663689	0.0665971669215
chimera_77	tag_564666|1|r	MI0006302_mmu-mir-467h	ENSMUST00000055844	MI0006302_mmu-mir-467h	ENSMUSG00000032387	mmu-mir-467h	Rbpms2-201	miRNA	protein_coding	locus_437	locus_14920	chr9:115381891:115381925:+	chr9:65659932:65659959:+	group_299	group_3473	0.194228978776	0.657120336311	0.127631811855
chimera_78	tag_564666|1|r	MI0006302_mmu-mir-467h	ENSMUST00000169003	MI0006302_mmu-mir-467h	ENSMUSG00000032387	mmu-mir-467h	Rbpms2-201	miRNA	protein_coding	locus_437	locus_14920	chr9:115381891:115381925:+	chr9:65659932:65659959:+	group_299	group_3473	0.194228978776	0.657120336311	0.127631811855
chimera_79	tag_252524|24|l	MI0014061_mmu-mir-669a-7	ENSMUST00000180809	MI0014061_mmu-mir-669a-7	ENSMUSG00000097569	mmu-mir-669a-7	Gm26640-201	miRNA	lincRNA	locus_229	locus_12281	chr2:10486691:10486739:+	chr6:72955375:72955398:+	group_172	group_326	1.0	0.333333333333	0.333333333333
chimera_80	tag_252524|24|l	MI0009945_mmu-mir-669o	ENSMUST00000180809	MI0009945_mmu-mir-669o	ENSMUSG00000097569	mmu-mir-669o	Gm26640-201	miRNA	lincRNA	locus_295	locus_12281	chr2:10514335:10514395:+	chr6:72955375:72955398:+	group_172	group_326	0.951807228916	0.333333333333	0.317269076305
chimera_81	tag_252524|24|l	MI0014071_mmu-mir-669p-2	ENSMUST00000180809	MI0014071_mmu-mir-669p-2	ENSMUSG00000097569	mmu-mir-669p-2	Gm26640-201	miRNA	lincRNA	locus_253	locus_12281	chr2:10496534:10496578:+	chr6:72955375:72955398:+	group_172	group_326	1.0	0.333333333333	0.333333333333
